Command,End Command,Context role,Placeholder,starts new paragraph?,ends paragraph?,Outline Level,Role,Role of Child elements,Number of Groups,Groups to parse,Parse Options?
\hat{l},,,l̂ ,,,,,,,,
\hat{m},,,,,,,,,,,
\hat{n},,,,,,,,,,,
\hat{o},,,ô,,,,,,,,
\hat{p},,,,,,,,,,,
\hat{q},,,,,,,,,,,
\hat{r},,,,,,,,,,,
\hat{s},,,,,,,,,,,
\hat{t},,,,,,,,,,,
\hat{u},,,û,,,,,,,,
\hat{v},,,,,,,,,,,
\hat{w},,,ŵ,,,,,,,,
\hat{x},,,x̂,,,,,,,,
\hat{y},,,ŷ,,,,,,,,
\hat{z},,,ẑ,,,,,,,,
\hat{\sigma},,,σ̂,,,,,,,,
\hat{\tau},,,τ̂,,,,,,,,
\hat{\pi},,,π̂,,,,,,,,
,,,,,,,,,,,
\widehat,,,,,,,,,1,,
\widehat{A},,,Â,,,,,,,,
\widehat{B},,,B̂,,,,,,,,
\widehat{C},,,Ĉ,,,,,,,,
\widehat{D},,,,,,,,,,,
\widehat{E},,,Ê,,,,,,,,
\widehat{F},,,,,,,,,,,
\widehat{G},,,Ĝ,,,,,,,,
\widehat{H},,,Ĥ,,,,,,,,
\widehat{I},,,Î,,,,,,,,
\widehat{J},,,Ĵ,,,,,,,,
\widehat{K},,,,,,,,,,,
\widehat{L},,,L̂,,,,,,,,
\widehat{M},,,,,,,,,,,
\widehat{N},,,,,,,,,,,
\widehat{O},,,Ô,,,,,,,,
\widehat{P},,,P̂,,,,,,,,
\widehat{Q},,,,,,,,,,,
\widehat{R},,,,,,,,,,,
\widehat{S},,,Ŝ,,,,,,,,
\widehat{T},,,T̂,,,,,,,,
\widehat{U},,,Û,,,,,,,,
\widehat{V},,,V̂,,,,,,,,
\widehat{W},,,Ŵ,,,,,,,,
\widehat{X},,,X̂,,,,,,,,
\widehat{Y},,,Ŷ,,,,,,,,
\widehat{Z},,,Ẑ,,,,,,,,
\widehat{\Pi},,,Π̂,,,,,,,,
,,,,,,,,,,,
\widehat{a},,,â,,,,,,,,
\widehat{b},,,,,,,,,,,
\widehat{c},,,,,,,,,,,
\widehat{d},,,,,,,,,,,
\widehat{e},,,ê,,,,,,,,
\widehat{f},,,,,,,,,,,
\widehat{g},,,q,,,,,,,,
\widehat{h},,,,,,,,,,,
\widehat{i},,,î,,,,,,,,
\widehat{j},,,,,,,,,,,
\widehat{k},,,,,,,,,,,
\widehat{l},,,l̂ ,,,,,,,,
\widehat{m},,,,,,,,,,,
\widehat{n},,,,q,,,,,,,
\widehat{o},,,ô,,,,,,,,
\widehat{p},,,,,,,,,,,
\widehat{q},,,,,,,,,,,
\widehat{r},,,,,,,,,,,
\widehat{s},,,,,,,,,,,
\widehat{t},,,,,,,,,,,
\widehat{u},,,û,,,,,,,,
\widehat{v},,,,,,,,,,,
\widehat{w},,,ŵ,,,,,,,,
\widehat{x},,,x̂,,,,,,,,
\widehat{y},,,ŷ,,,,,,,,
\widehat{z},,,ẑ,,,,,,,,
\widehat{\pi},,,π̂,,,,,,,,
,,,,,,,,,,,
\^{A},,,Â,,,,,,,,
\^{a},,,â,,,,,,,,
\^{E},,,Ê,,,,,,,,
\^{e},,,ê,,,,,,,,
\^{I},,,Î,,,,,,,,
\^{\i},,,î,,,,,,,,
\^{O},,,Ô,,,,,,,,
\^{o},,,ô,,,,,,,,
\^{U},,,Û,,,,,,,,
\^{u},,,û,,,,,,,,
,,,,,,,,,,,
\tilde,,,,,,,,,1,,
\tilde{A},,,Ã,,,,,,,,
\tilde{B},,,,,,,,,,,
\tilde{C},,,,,,,,,,,
\tilde{D},,,D̃,,,,,,,,
\tilde{E},,,Ẽ,,,,,,,,
\tilde{F},,,,,,,,,,,
\tilde{G},,,,,,,,,,,
\tilde{H},,,,,,,,,,,
\tilde{I},,,Ĩ,,,,,,,,
\tilde{J},,,,,,,,,,,
\tilde{K},,,,,,,,,,,
\tilde{L},,,,,,,,,,,
\tilde{M},,,,,,,,,,,
\tilde{N},,,Ñ,,,,,,,,
\tilde{O},,,Õ,,,,,,,,
\tilde{P},,,,,,,,,,,
\tilde{Q},,,,,,,,,,,
\tilde{R},,,,,,,,,,,
\tilde{S},,,,,,,,,,,
\tilde{T},,,T̃,,,,,,,,
\tilde{U},,,Ũ,,,,,,,,
\tilde{V},,,ṽ,,,,,,,,
\tilde{W},,,W̃,,,,,,,,
\tilde{X},,,,,,,,,,,
\tilde{Y},,,,,,,,,,,
\tilde{Z},,,,,,,,,,,
\tilde{\Gamma},,,Γ̃,,,,,,,,
\tilde{\Psi},,,Ψ̃,,,,,,,,
\tilde{\Sigma},,,Σ̃,,,,,,,,
,,,,,,,,,,,
\tilde{a},,,ã,,,,,,,,
\tilde{b},,,,,,,,,,,
